"Team","Wins","Losses"
"100 Thieves",12,8
"Cloud9",11,11
"Evil Geniuses",17,5
"FaZe Clan",7,13
"Ghost Gaming",13,9
"Luminosity Gaming",9,13
"NRG Esports",10,12
"OpTic Gaming",12,12
"Sentinels",10,12
"The Guard",11,15
"TSM",9,11
"XSET",11,11
