"Team","Wins","Losses"
"100 Thieves",2,6
"Cloud9",1,10
"Evil Geniuses",0,5
"FaZe Clan",3,10
"Ghost Gaming",3,6
"Luminosity Gaming",0,13
"NRG Esports",0,12
"OpTic Gaming",0,12
"Sentinels",0,12
"The Guard",1,14
"TSM",1,10
"XSET",2,9
