"Team","Wins","Losses"
"100 Thieves",41,29
"Cloud9",38,49
"Evil Geniuses",53,47
"FaZe Clan",57,44
"Ghost Gaming",49,37
"Luminosity Gaming",50,50
"NRG Esports",41,43
"OpTic Gaming",55,38
"Sentinels",38,63
"The Guard",42,55
"TSM",35,46
"XSET",46,44
