"Team","Wins","Losses"
"100 Thieves",10,2
"Cloud9",11,0
"Evil Geniuses",17,0
"FaZe Clan",7,0
"Ghost Gaming",13,0
"Luminosity Gaming",8,1
"NRG Esports",6,4
"OpTic Gaming",10,2
"Sentinels",9,1
"The Guard",11,0
"TSM",6,3
"XSET",11,0
