"Team","Wins","Losses"
"100 Thieves",4,14
"Cloud9",6,11
"Evil Geniuses",1,17
"FaZe Clan",2,7
"Ghost Gaming",3,7
"Luminosity Gaming",5,6
"NRG Esports",2,13
"OpTic Gaming",2,14
"Sentinels",0,13
"The Guard",3,17
"TSM",1,13
"XSET",7,9
