"Team","Wins","Losses"
"100 Thieves",23,13
"Cloud9",19,8
"Evil Geniuses",21,13
"FaZe Clan",16,18
"Ghost Gaming",22,12
"Luminosity Gaming",23,17
"NRG Esports",17,17
"OpTic Gaming",26,13
"Sentinels",13,15
"The Guard",23,17
"TSM",14,13
"XSET",23,14
