"Team","Wins","Losses"
"100 Thieves",5,1
"Cloud9",8,2
"Evil Geniuses",2,3
"FaZe Clan",6,4
"Ghost Gaming",3,3
"Luminosity Gaming",6,7
"NRG Esports",8,4
"OpTic Gaming",7,5
"Sentinels",5,7
"The Guard",5,8
"TSM",6,4
"XSET",5,4
