"Team","Wins","Losses"
"100 Thieves",6,2
"Cloud9",14,2
"Evil Geniuses",9,4
"FaZe Clan",12,2
"Ghost Gaming",17,1
"Luminosity Gaming",12,2
"NRG Esports",9,5
"OpTic Gaming",12,4
"Sentinels",9,2
"The Guard",12,3
"TSM",16,5
"XSET",13,4
