"Team","Wins","Losses"
"100 Thieves",9,13
"Cloud9",13,18
"Evil Geniuses",13,21
"FaZe Clan",13,17
"Ghost Gaming",12,19
"Luminosity Gaming",11,16
"NRG Esports",18,21
"OpTic Gaming",16,18
"Sentinels",18,28
"The Guard",14,29
"TSM",21,19
"XSET",12,21
