"Team","Wins","Losses"
"100 Thieves",7,1
"Cloud9",6,0
"Evil Geniuses",10,0
"FaZe Clan",4,0
"Ghost Gaming",9,0
"Luminosity Gaming",4,1
"NRG Esports",4,3
"OpTic Gaming",6,2
"Sentinels",7,0
"The Guard",4,0
"TSM",4,1
"XSET",5,0
