"Team","Wins","Losses"
"100 Thieves",15,8
"Cloud9",11,6
"Evil Geniuses",12,8
"FaZe Clan",11,11
"Ghost Gaming",16,6
"Luminosity Gaming",12,12
"NRG Esports",7,10
"OpTic Gaming",17,7
"Sentinels",9,9
"The Guard",16,10
"TSM",11,5
"XSET",11,7
