"Team","Wins","Losses"
"100 Thieves",2,1
"Cloud9",5,2
"Evil Geniuses",1,1
"FaZe Clan",4,2
"Ghost Gaming",2,2
"Luminosity Gaming",3,6
"NRG Esports",3,2
"OpTic Gaming",3,3
"Sentinels",4,3
"The Guard",4,4
"TSM",5,1
"XSET",3,3
