"Team","Wins","Losses"
"100 Thieves",23,16
"Cloud9",23,35
"Evil Geniuses",29,24
"FaZe Clan",29,24
"Ghost Gaming",29,24
"Luminosity Gaming",33,32
"NRG Esports",24,25
"OpTic Gaming",33,16
"Sentinels",23,39
"The Guard",20,26
"TSM",21,28
"XSET",23,21
