"Team","Wins","Losses"
"100 Thieves",3,7
"Cloud9",5,6
"Evil Geniuses",1,8
"FaZe Clan",1,5
"Ghost Gaming",0,4
"Luminosity Gaming",3,3
"NRG Esports",2,7
"OpTic Gaming",1,8
"Sentinels",0,5
"The Guard",1,9
"TSM",0,8
"XSET",3,5
