"Team","Wins","Losses"
"100 Thieves",4,0
"Cloud9",7,1
"Evil Geniuses",5,2
"FaZe Clan",5,2
"Ghost Gaming",9,1
"Luminosity Gaming",6,1
"NRG Esports",4,3
"OpTic Gaming",6,3
"Sentinels",6,2
"The Guard",7,1
"TSM",10,2
"XSET",6,2
