"Team","Wins","Losses"
"100 Thieves",3,4
"Cloud9",4,2
"Evil Geniuses",4,6
"FaZe Clan",2,2
"Ghost Gaming",4,4
"Luminosity Gaming",2,2
"NRG Esports",1,3
"OpTic Gaming",2,4
"Sentinels",3,4
"The Guard",2,2
"TSM",1,3
"XSET",2,3
