"Team","Wins","Losses"
"100 Thieves",6,9
"Cloud9",9,12
"Evil Geniuses",5,10
"FaZe Clan",7,9
"Ghost Gaming",6,13
"Luminosity Gaming",10,11
"NRG Esports",7,15
"OpTic Gaming",10,8
"Sentinels",12,22
"The Guard",4,12
"TSM",14,12
"XSET",9,15
