"Team","Wins","Losses"
"100 Thieves",8,4
"Cloud9",6,8
"Evil Geniuses",10,2
"FaZe Clan",4,8
"Ghost Gaming",9,5
"Luminosity Gaming",5,9
"NRG Esports",7,5
"OpTic Gaming",8,6
"Sentinels",7,7
"The Guard",4,10
"TSM",5,7
"XSET",5,7
