"Team","Wins","Losses"
"100 Thieves",1,3
"Cloud9",1,7
"Evil Geniuses",0,2
"FaZe Clan",2,6
"Ghost Gaming",1,4
"Luminosity Gaming",0,9
"NRG Esports",0,5
"OpTic Gaming",0,6
"Sentinels",0,7
"The Guard",1,9
"TSM",1,6
"XSET",1,6
